GM_PONTO;CD_GEOCODIGO;TIPO;CD_GEOCODSD;NM_SUBDISTRITO;CD_GEOCODDS;NM_DISTRITO;CD_GEOCODMU;NM_MUNICIPIO;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGORIA;NM_CATEGORIA;NM_LOCALIDADE;LONG;LAT;ALT
;430107305000004;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;003;AUI;BAIRRO LEITZKE;-52,46107285;-31,43095464;236,366897
;430107305000005;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;004;AUI;BAIRRO PROGRESSO;-52,40108314;-31,40692816;99,046895
;430107305000006;URBANO;43010730500;;430107305;ARROIO DO PADRE;4301073;ARROIO DO PADRE;PELOTAS;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;005;AUI;BAIRRO CERRITO;-52,37742842;-31,40063157;82,802215
;430110705000001;URBANO;43011070500;;430110705;ARROIO DOS RATOS;4301107;ARROIO DOS RATOS;SÃO JERÔNIMO;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ARROIO DOS RATOS;-51,73380687;-30,09001311;46,985913
;430120605000001;URBANO;43012060500;;430120605;ARROIO DO TIGRE;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ARROIO DO TIGRE;-53,08639557;-29,33585961;349,517889
;430120610000001;URBANO;43012061000;;430120610;COLONINHA;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;COLONINHA;-52,94940966;-29,18993137;406,660169
;430120618000001;URBANO;43012061800;;430120618;LINHA OCIDENTAL;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;18;VILA;LINHA OCIDENTAL;-53,1087342;-29,27940654;310,577562
;430120625000001;URBANO;43012062500;;430120625;VILA PROGRESSO;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;25;VILA;VILA PROGRESSO;-53,05436968;-29,26040837;326,176501
;430120635000001;URBANO;43012063500;;430120635;SÍTIO ALTO;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;35;VILA;SÍTIO ALTO;-53,02394815;-29,1903477;381,556412
;430120640000001;URBANO;43012064000;;430120640;TABOÃOZINHO;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;40;VILA;TABOÃOZINHO;-52,99194142;-29,23793396;448,644078
;430120645000001;URBANO;43012064500;;430120645;TAQUARAL;4301206;ARROIO DO TIGRE;SANTA CRUZ DO SUL;CENTRO ORIENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;2;45;VILA;TAQUARAL;-53,14437593;-29,33464621;329,596684
